id	text	buttons	intents	sounds	image
0	Добро пожаловать в образовательный, но безумно интересный интерактивный навык 'Игра в любовь'! ENTER  ENTER Общайся с разными парнями — как в переписке, так и в живом общении. Выбирай того, кто тебе больше по душе. ENTER  ENTER Или узнай новые термины из психологии отношений — на понятном языке и, конечно, с мемами.  ENTER  ENTER  С чего начнем?	[('Правила', 1, False), ('Симулятор отношений', 3, True), ('Азбука любви', 4, True)]	[('YANDEX.HELP', 1), ('RULES', 1)]		
1	Возникли вопросы о том, как проходить навык? Постараемся ответить на основные. ENTER  ENTER Симулятор отношений: тут все просто:) Смотри варианты ответа на кнопках и давай ответ голосом или текстом. А лучше всего просто нажимать на кнопку! ENTER  ENTER Азбука любви: здесь тебе предстоит написать или сказать любую букву алфавита. В соответствии с ними тебе будет показана картинка и пояснение. ENTER  ENTER Также в любой момент игры ты можешь начать проходить навык заново, написав или сказав «Начать сначала». ENTER  ENTER Приятной игры!				
2					
3	Это часть навыка 'Игра в любовь'. ENTER  ENTER Симулятор отношений — это небольшая новелла, которая поможет тебе в тренировке общения с разными парнями. Какой тип привязанности? Любовь или созависимость? Абьюз или жертвенность?... Что же ждет тебя дальше и кого ты выберешь для дальнейших отношений?	[('Начать', 5, True)]			
4	Это часть навыка "Игра в любовь". ENTER  ENTER Азбука любви — это сборник по психологии отношений простым и понятным языком с мемами к каждому слову. Просто напиши любую букву алфавита, и я выдам тебе определение конкретного слова.				
5	Пятница. Ты привычно заходишь на кухню, наливаешь себе стакан воды, чистишь мандарин и расслабленно садишься на диван в гостиной. Ноги в позе лотоса, комфортная одежда и снегопад за окном —  что может быть лучше? ENTER  ENTER 'Лучше может быть делить это все с кем-то' — отвечаешь ты про себя на свои же мысли. Так хочется найти кого-то! Иногда правда бывает одиноко. ENTER  ENTER Чем же заняться?	[('Посмотреть сериал', 6, True), ('Зайти в приложение знакомств', 7, True)]			
6	Ты бездумно тыкнула на первый сериал от онлайн-кинотеатра. ENTER  ENTER Какой же красивый актер! Ты решила поискать кого-нибудь для свидания.	[('Найти пару для свидания', 7, True)]			
7	Ты открыла приложение для знакомств. Вдруг кто-нибудь приглянется?	[('Перейти к анкетам', 8, True)]			
8		[('Начать общение', 13, True), ('К следующей анкете', 9, True)]		<speaker audio="dialogs-upload/38334484-8b3e-4b9d-adf1-20fd5ac5ed62/77379b78-9985-4f13-8456-0050ae6924e0.opus">	1030494/ce9a9a4c73764db02f60
9		[('Начать общение', 185, True), ('К следующей анкете', 10, True)]		<speaker audio="dialogs-upload/38334484-8b3e-4b9d-adf1-20fd5ac5ed62/77379b78-9985-4f13-8456-0050ae6924e0.opus">	213044/49278a8cb88b0d5ef747
10		[('Начать общение', 106, True), ('К следующей анкете', 11, True)]		<speaker audio="dialogs-upload/38334484-8b3e-4b9d-adf1-20fd5ac5ed62/77379b78-9985-4f13-8456-0050ae6924e0.opus">	213044/11edf0a8dade40fc8113
11		[('Начать общение', 272, True), ('К следующей анкете', 12, True)]		<speaker audio="dialogs-upload/38334484-8b3e-4b9d-adf1-20fd5ac5ed62/77379b78-9985-4f13-8456-0050ae6924e0.opus">	213044/ace08f1ee686d4cd1033
12		[('Начать общение', 212, True), ('К следующей анкете', 8, True)]		<speaker audio="dialogs-upload/38334484-8b3e-4b9d-adf1-20fd5ac5ed62/77379b78-9985-4f13-8456-0050ae6924e0.opus">	213044/39f79bb6b2b9d425b7b8
13	Привет, чего ищешь тут?)	[('Не знаю...', 14, True), ('Ищу спутника своей жизни', 33, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/ceab53b7-64ce-4469-b3b9-b271d1928815.opus'>	
