id intent	text	buttons	intents	sounds	image
LETTER_A	Абьюз ENTER Думаю, ты точно слышала это понятие. Это физическое, эмоциональное или психологическое воздействие, которое оказывает вред на человека. Один из партнеров злоупотребляет своей властью, контролем или агрессией, создавая неравный баланс. Часто абьюзерами (арбузерами) являются мужчины. Но, кто знает...Может, ты тоже иногда абьюзишь своего партнера? Это можно проверить в нашем симуляторе отношений...				1656841/c00f0f93b5a68898031e
LETTER_B	Близость ENTER Может быть и физической и духовной. Это уровень связи между партнерами, когда они чувствуют уверенность, комфорт и взаимопонимание друг с другом, находятся на одной волне. Обычно чем дольше отношения - тем больше близости.				213044/92f5b0c5be327238c70d
LETTER_V	Влюбленность ENTER Волшебный момент: мир становится ярче, сердце бьется чаще. Организм выкидывает огромное количество гормонов. Это временное состояние, которое может сопровождаться эмоциональной привязанностью, интенсивными эмоциями и желанием близости с партнером. Обычно “розовые очки” слетают через полгода— год отношений и наступает более осознанный период.				1533899/480b973e9a4a43f70a42
LETTER_G	Газлайтинг ENTER Газлайтинг —  это форма эмоционального манипулирования, когда один человек систематически дискредитирует или подрывает чувства реальности другого, заставляя второго сомневаться в своих мыслях, восприятии и памяти. Один партнер делает вид, что все нормально, хотя создает странные ситуации или врет, чтобы заставить другого партнера чувствовать себя виновато или даже сомневаться в своей памяти. Второй партнер при этом часто оказывается сломлен из— за внутренних сомнений.				1030494/8769042a3d4d68aedcad
LETTER_D	Доверие ENTER Это основа отношений, создает базу для взаимопонимания и построения эмоциональной связи. Надеюсь, в твоей голове сейчас нет фразы: “доверяй, но проверяй”. Это про другое.				937455/199caf41af447a2277d3
LETTER_E	Естественность ENTER Партнер идеален только если ты чувствуешь себя с ним такой, какая есть на самом деле. Без всяких масок или утаивания секретов. Быть открытой, непринужденной и естественной с партнером —  очень важно и ценно.				1030494/8076153b57410780d5d4
LETTER_IO	Упс, на эту букву слов по психологии не нашлось! Попробуй другую.				965417/bb66116fc04625e7abfa
LETTER_ZH	Жертва ENTER В отношениях состояние, в которое может впадать человек, особенно если подвергается абьюзу (см. букву “а”). Партнер может испытывать осознаваемую или неосознаваемую боль, соглашаться с тем, что не устраивает, находиться под влиянием другого. Деструктивное состояние для личности.				1540737/b91692f1d023217e2cd8
LETTER_Z	Защита ENTER Мы защищаемся от партнера, если имеем какие-то травмы или партнер начинает нападать. Это логичное состояние психики, которое проявляется, если необходимо “отстоять” себя и сохранить целостность.				1652229/3876b44987af5b78d501
LETTER_I	Измена ENTER Может быть физической или моральной. Тут все зависит от границ. Такое стоит обсуждать заранее —  что для тебя и твоего партнера является изменой. Про измены очень много шуток, но проживать измену тяжело. Это нарушает доверие между людьми и часто вызывает боль и разрушение в отношениях.				1540737/a7d9a8151f124292f750
LETTER_II	Слов на эту букву не так много, особенно по психологии. Выбери другую.				1030494/c43827d55cbb57a2eb83
LETTER_K	Кризис ENTER Трудная ситуация или период, когда у пары возникают разногласия и ощущение нестабильности. Иногда это может привести к расставанию. Частые точки кризисов —  год (разница между романтическими ожиданиями и повседневной реальностью) и три года (влечение и влюбленность снижаются, уступая место “притиркам” и объективному взгляду на партнера) отношений. Ну, или кто— то просто не отреагирует на мем...				213044/7c7c5e1db204c5ccbbd7
LETTER_L	Лояльность ENTER Ты думала, будет слово любовь? Я тоже. Но нет! Лучше поговорим о лояльности. Это чувство принятия любых решений партнера, какими бы они ни были. Это о доверии, понимании и согласии.				1533899/a61423486858902086f5
LETTER_M	Манипуляция ENTER Это когда вы ссоритесь, ты покупаешь букет цветов и выкладываешь в сториз, будто тебе подарил его другой парень. Если понаучнее, это когда один человек использует различные тактики или стратегии, чтобы воздействовать на мысли, поведение или чувства другого человека ради достижения своих целей. Обычно это происходит через умелое использование информации, эмоций или контроля, чтобы убедить или оказать влияние на партнера, зачастую без учета их собственных желаний или интересов.				213044/05785012dca8ea96af82
LETTER_N	Независимость ENTER Сохранение своей самостоятельности, личности и свободы даже в рамках партнерства. Это умение принимать собственные решения, иметь собственные интересы, не теряя при этом баланса в отношениях. Независимость позволяет быть собой и при этом активно участвовать в партнерстве, не теряя свою самобытность.				965417/423bad2204a0b91f4c8d
LETTER_O	Общение ENTER Общение в отношениях —  это ключевой ингредиент для понимания, поддержки и укрепления связи между партнерами. Это взаимодействие через разговоры, обмен эмоциями, идеями и информацией, что позволяет понимать друг друга лучше, решать проблемы и находить компромиссы. Кроме того, хорошее общение создает атмосферу доверия и близости в отношениях.				213044/e213d68ec013ff9bb83a
LETTER_P	Привязанность ENTER Распространенная вещь в психологии. От того типа привязанности, который сформировался в детстве, зависит то, как ты будешь строить дальнейшие отношения. Джон Боулби выделял 4 типа привязанности: надёжный (безопасный), тревожный, избегающий, тревожно-избегающий (дезорганизованный). Подробнее о них в симуляторе отношений.				213044/79b0b213839ad873a74a
LETTER_R	Романтика ENTER Создание особенной атмосферы, наполненной вниманием, нежностью и заботой друг о друге. Она выражается в мелочах: романтичных свиданиях, приятных сюрпризах, внимании к желаниям партнера. Романтика укрепляет связь между партнерами, придает отношениям особый шарм и помогает поддерживать эмоциональную близость.				213044/2e203f4ccdab13676094
LETTER_S	Созависимость ENTER Болезненное состояние, когда один партнер чрезмерно ориентирован на другого, и его самооценка и благополучие зависят от этого партнерства. Это часто сопровождается желанием контролировать партнера, беспокойством о его проблемах и постоянной потребностью удовлетворить его запросы. Созависимость может привести к негативным последствиям, таким как утрата личной идентичности и обесценивание собственных потребностей.				213044/0cfa2fd18a26a225556a
LETTER_T	Токсичность ENTER Когда-то каждый из нас хоть раз, но “токсичил” на кого-то. Вряд ли стоит объяснять, что это значит. Грубость, нетактичное общение, приводящее к конфликтам и нарушению границ.				1521359/553a96399da438aeaea0
LETTER_Y	Уважение ENTER Осознание и признание индивидуальности, чувств, мнений и границ другого человека. Это проявление внимания, поддержки и уважения к правам, желаниям и личности партнера, даже если мнения различаются. Уважение создает основу для здоровых и гармоничных отношений, где каждый чувствует себя ценным и признанным.				997614/4e111c11b9471bcf84b4
LETTER_F	Флирт ENTER Имеет такую же функцию как романтика (смотри букву “р”). Легкая и игривая форма общения, направленная на вызов веселых эмоций и создание химии между людьми. Флирт может выражаться через шутки, легкую дружескую игру слов, жесты или взгляды.				1030494/37e6b857f5bb6e7f4894
LETTER_H	Холодность ENTER Отсутствие эмоциональной близости или тепла между партнерами. Это может проявляться через отсутствие общения, эмоциональную отстраненность или недостаток внимания друг к другу. Холодность может возникнуть из-за различных причин, таких как конфликты, дистанция.				997614/2b076be8b00c6aa170e1
LETTER_C	Ценности ENTER Ценности в отношениях представляют собой основные принципы, убеждения и установки, которые являются важными для каждого партнера. Они определяют то, что для людей действительно важно в жизни, и могут включать такие аспекты, как семья, карьера, честность, доверие, саморазвитие, верность, уважение к другим и многое другое.				1521359/5058c30909700139e65b
LETTER_CH	Честность ENTER Очень важная вещь в отношениях. Нужно быть открытой как с собой, так и с партнером (см. букву “о”). Только будучи честной, можно чувствовать себя свободно, комфортно и точно понимать, насколько вы с партнером подходите друг другу.				997614/59e3402bf4a4901ec1d0
LETTER_SH	Шуба? Которую многие из нас ждут от своего партнера на очередную годовщину...Но вообще, слов на эту букву в психологии отношений нет. Советую попробовать другую.				213044/92aa4c6d27d7fce33c0c
LETTER_SHC	Щедрость ENTER Любое вложение важно в партнера. Это необязательно про что-то материальное. Стоит быть щедрой на эмоции, похвалу, реакции и так далее. Быть доброй, заботливой и готовой помочь другому человеку без ожидания немедленного вознаграждения. Щедрость создает теплую и дружественную обстановку в отношениях, позволяя партнерам чувствовать себя заботливо и ценно.				1533899/df89aa0e520951673795
LETTER_TZN	Кажется, в русском языке слова не начинаются с твердого знака. Выбери другую букву.				213044/a74e2a10f06626966b14
LETTER_YY	Слов на эту букву не так много, особенно по психологии. Выбери другую букву.				1030494/7adef3f4e63b298dc7a3
LETTER_SOFT	Кажется, в русском языке слова не начинаются с мягкого знака. Выбери другую букву.				965417/256478e696deedb2d711
LETTER_EE	Эмпатия ENTER Умение почувствовать и понять эмоции, переживания и точку зрения другого человека. Это не просто сочувствие, но и способность “войти” в чужие чувства, понять их и поддержать в трудные моменты. Эмпатия позволяет строить более близкие и глубокие связи, так как партнер чувствует, что его чувства уважают и принимают.				1521359/7b2824fd487c0ee80d07
LETTER_UU	Юмор ENTER Смех продлевает жизнь! Шутить —  правда очень важно, особенно если у вас похожий юмор. Что может быть лучше партнера, с которым постоянно смеешься?				937455/ed0a0d9f8a2e2ac12ac8
LETTER_IA	Язык любви ENTER Концепция, которая описывает различные способы, которыми люди выражают и воспринимают любовь. Он представляет пять основных "языков любви", включая слова похвалы, время вместе, подарки, заботу и физическое касание. Идея состоит в том, что каждый человек имеет свой основной язык любви, на котором он лучше всего чувствует себя любимым и понимаемым. Понимание и использование языка любви позволяет партнерам лучше выражать свою любовь и строить более гармоничные отношения.				965417/412d6e775820b38a659c
